x;y
853;-1.03
854;0.57
855;-2.81
856;1.19
857;2.86
858;2.99
859;0.86
860;2.48
861;2.57
862;0.04
863;0.81
864;1.41
865;0.54
866;0.63
867;-0.71
868;0.74
869;2.61
870;-0.19
871;0.05
872;2.46
873;-1.69
874;-0.83
875;-1.94
876;-1.96
877;-0.26
878;1.93
879;1.43
880;-3.45
881;0.51
882;-1.01
883;3.95
884;-0.49
885;-0.96
886;1.83
887;3.71
888;-2.48
889;3.97
890;2.63
891;-0.73
892;-1.09
893;0.71
894;0.25
895;-0.69
896;0.75
897;-0.01
898;-0.62
899;0.11
900;0.46
901;-0.59
902;-1.85
903;1.61
904;1.85
905;-1.42
906;2.26
907;1.54
908;0.48
909;-0.83
910;1.28
911;0.44
912;1.19
913;2.21
914;-0.58
915;3.05
916;-2.09
917;0.43
918;0.2
919;-2.8
920;-1.59
921;3.22
922;0.44
923;1.42
924;0.79
925;2.35
926;3.16
927;-2.14
928;-0.67
929;-2.25
930;1.14
931;1.48
932;0.25
933;-1.4
934;3.71
935;1.4
936;-1.74
937;0.75
938;0.63
939;-2.6
940;-0.96
941;-1.37
942;-2.68
943;0
944;-1.59
945;-1.47
946;1.08
947;-1.62
948;0.43
949;1.39
950;-2.75
951;-1.7
952;-2.74
953;-0.6
954;2.27
955;1.65
956;-3.6
957;-2.54
958;0.37
959;-1.74
960;-2.12
961;-0.73
962;0.81
963;-3.57
964;3.7
965;-0.39
966;0.27
967;-2.56
968;-1.92
969;3.13
970;-1.13
971;1.5
972;-1.09
973;1.46
974;-0.65
975;-0.32
976;-2.56
977;-3.66
978;-0.53
979;2.29
980;1.32
981;-1.91
982;-4.76
983;-0.07
984;-1.6
985;-0.93
986;-1.52
987;-4.73
988;-5.56
989;-0.75
990;-1.62
991;-1.74
992;0.42
993;0.16
994;0.43
995;-0.53
996;3.42
997;0.37
998;-0.14
999;-1.41
1000;2.01
