x;y
862;0.93
863;-0.77
864;-0.23
865;3.19
866;0.39
867;-1.19
868;0.38
869;4.54
870;1.04
871;4.12
872;0.67
873;2.74
874;-0.54
875;2.15
876;4.34
877;-2.29
878;-0.64
879;1.48
880;1.9
881;-0.79
882;0.52
883;2.42
884;1.88
885;1.14
886;6.01
887;2.82
888;-3.26
889;-0.9
890;1.07
891;1.62
892;4.13
893;1.44
894;1.48
895;-1.25
896;-1.78
897;0.81
898;2.69
899;0.9
900;0.17
901;0.5
902;0.78
903;4.64
904;0.52
905;0.85
906;1.81
907;2.42
908;0.82
909;-3.03
910;-0.46
911;1.84
912;1.62
913;3.34
914;-0.16
915;1.69
916;2.57
917;0.87
918;2.17
919;2.66
920;3.75
921;-0.21
922;0.25
923;3.08
924;-0.36
925;-0.63
926;2.11
927;1.63
928;1.16
929;-1.99
930;-4.41
931;5.79
932;2.9
933;-1.87
934;2.86
935;1.82
936;1.67
937;2.25
938;-1.83
939;1.84
940;1.52
941;1.92
942;-0.21
943;-0.56
944;0.9
945;-0.94
946;-2.07
947;0
948;1.34
949;-1.18
950;1.99
951;1.87
952;-2.5
953;2
954;1.03
955;4.94
956;-0.23
957;2.42
958;2.45
959;-2.3
960;-2.75
961;2.41
962;-2.96
963;0.84
964;1.76
965;1.03
966;0.77
967;1.73
968;1.51
969;5.94
970;0.8
971;1.75
972;-2.39
973;5.4
974;-1.24
975;-2.96
976;-2.15
977;3.9
978;1.82
979;5.52
980;-0.18
981;2.57
982;1.88
983;2.35
984;2.94
985;2.54
986;-2.01
987;-0.48
988;-0.16
989;-1.16
990;1.86
991;0.91
992;-0.16
993;1.43
994;-0.02
995;-2.53
996;2.58
997;1.5
998;-0.02
999;-2.82
1000;1.58
