x;y
855;-2.5
856;-2.69
857;1.9
858;-0.28
859;-0.25
860;1.37
861;5.19
862;1.2
863;1.87
864;-0.56
865;0.32
866;-0.77
867;1.9
868;0.29
869;0.35
870;0.51
871;3.07
872;3.33
873;3.07
874;4.54
875;1.3
876;1.33
877;1.39
878;1.56
879;-4.55
880;1.61
881;1.31
882;3.18
883;1.32
884;3.47
885;-0.87
886;3.58
887;2.41
888;-1.58
889;0.04
890;0.19
891;-1.46
892;2.35
893;2.06
894;0.09
895;-0.53
896;-2.99
897;-0.12
898;1.26
899;0.62
900;2.73
901;-1.16
902;3.31
903;-2.02
904;-0.74
905;-1.03
906;1.86
907;0.75
908;1.31
909;2.92
910;0.68
911;1.28
912;-5.47
913;-0.33
914;3.31
915;-1.73
916;0.16
917;-1.67
918;0.69
919;1.18
920;2.18
921;4.51
922;-1.4
923;-0.7
924;0.95
925;0.01
926;2.46
927;-1.57
928;2.79
929;0.06
930;-1.14
931;0.37
932;0.42
933;-0.04
934;2.16
935;-0.14
936;-1.44
937;1.72
938;-1.58
939;1.35
940;0.23
941;-3.12
942;-1.73
943;-0.05
944;-0.69
945;0.41
946;-1.65
947;1.52
948;-1.11
949;-0.74
950;2.44
951;-1.62
952;-0.58
953;-2.58
954;-2.6
955;2.4
956;-1.53
957;-0.08
958;3.62
959;-1.48
960;2.18
961;-0.6
962;1.26
963;-1.69
964;2.13
965;-0.72
966;-2.25
967;-1.46
968;-3.18
969;-1
970;1.6
971;-1.26
972;-2.61
973;1.97
974;1.44
975;-2.02
976;-0.72
977;0.55
978;-1.69
979;2.52
980;0.38
981;-2.41
982;0.15
983;0.09
984;2.25
985;-1.42
986;-2.8
987;-2.32
988;-0.89
989;-0.15
990;0.33
991;-1.47
992;-0.68
993;-2.42
994;-1.83
995;0.42
996;1.92
997;0.36
998;0.4
999;3.62
1000;-2.69
