x;y
845;-1.78
846;0.05
847;1.65
848;-3.18
849;0.58
850;-3.95
851;-0.97
852;-0.8
853;-2.52
854;-3.82
855;-2.06
856;0.08
857;-3.97
858;-0.99
859;-1.32
860;-1.93
861;-0.81
862;0.11
863;1.86
864;-0.85
865;0.06
866;-1.36
867;-0.18
868;-0.06
869;5.2
870;-3.4
871;0.48
872;1
873;-3.13
874;-1.61
875;-1.79
876;-1.39
877;0.02
878;0.5
879;-0.95
880;-3.35
881;-0.1
882;-0.96
883;1.75
884;0.28
885;-0.11
886;0.17
887;1.61
888;-0.85
889;-2.98
890;0.58
891;0.22
892;-1.78
893;-1.88
894;-3.79
895;-2.07
896;-1.53
897;-0.46
898;-0.12
899;-4.01
900;-3.33
901;-1.93
902;-1.53
903;-0.25
904;0.05
905;-2.86
906;-0.35
907;-0.42
908;-3
909;-3.54
910;-2.32
911;-1.96
912;-1.52
913;-2.74
914;-1.96
915;1.52
916;1.73
917;-1.97
918;-3.94
919;1.85
920;0.03
921;3.52
922;-0.8
923;-2.86
924;-1.49
925;-2.35
926;-2
927;-3.3
928;0.08
929;-0.63
930;-3.82
931;-1.96
932;-2.07
933;-0.74
934;2.98
935;-1.32
936;-3.64
937;-2.09
938;-0.39
939;-2.03
940;-2.28
941;-2.8
942;-2.74
943;-2.5
944;0.02
945;-0.28
946;0.01
947;-3.43
948;-4.13
949;3.06
950;-0.53
951;-0.42
952;-0.45
953;-0.29
954;-2.76
955;2.74
956;-0.95
957;2.74
958;3.02
959;-1.74
960;-0.2
961;1.91
962;-2.54
963;-3.96
964;-0.07
965;0.87
966;0.16
967;-3.1
968;-4.16
969;-0.15
970;-0.23
971;0.9
972;-1.06
973;1.81
974;-1.1
975;-2.72
976;-4.98
977;-1.79
978;-4.02
979;2.64
980;-2.02
981;1.45
982;-1.77
983;-1.24
984;-3
985;-2.52
986;-1.92
987;-1.24
988;-5.91
989;-4.29
990;-2.93
991;-4.35
992;0.06
993;2.06
994;-1.94
995;-0.24
996;-0.9
997;-3.95
998;-2.24
999;-0.72
1000;-0.58
